Estado,Fila,Columna,Fase,Batería,V aleatoria,V determinista,V greedy
"(0, 1, 'en_camino', 3)",0.0,1.0,en_camino,3,-89.46415465722916,-91.09711813720027,-58.18047573434994
"(0, 1, 'en_camino', 4)",0.0,1.0,en_camino,4,-83.87539396027132,-24.2501532502867,-23.75896119154067
"(0, 1, 'en_camino', 5)",0.0,1.0,en_camino,5,-79.00265349889553,-20.57499324825484,3.7468800224502283
"(0, 1, 'en_camino', 6)",0.0,1.0,en_camino,6,-74.17259467356796,-0.3303279300212939,26.758332856907113
"(0, 1, 'en_camino', 7)",0.0,1.0,en_camino,7,-69.72378066972695,51.64230006097107,56.827651373951056
"(0, 1, 'en_camino', 8)",0.0,1.0,en_camino,8,-65.49138796185046,57.66151344436224,64.34463317908856
"(0, 1, 'en_camino', 9)",0.0,1.0,en_camino,9,-61.531017548566645,88.62281787913201,82.11398954434517
"(0, 1, 'en_camino', 10)",0.0,1.0,en_camino,10,-57.79528904466079,90.40399360886981,84.3861912463492
"(0, 1, 'regresando', 1)",0.0,1.0,regresando,1,-99.01234567901236,-100.0,-86.66666666666664
"(0, 1, 'regresando', 2)",0.0,1.0,regresando,2,-93.99304787330809,-95.95801104972377,-68.22796934865643
"(0, 1, 'regresando', 3)",0.0,1.0,regresando,3,-85.13941757446739,-5.452937456121609,-1.286091954022416
"(0, 1, 'regresando', 4)",0.0,1.0,regresando,4,-78.30672810272551,-4.157513953176034,2.1032504326929513
"(0, 1, 'regresando', 5)",0.0,1.0,regresando,5,-71.12730057720006,26.87010228231618,27.108458983552786
"(0, 1, 'regresando', 6)",0.0,1.0,regresando,6,-64.83932582824669,27.24307604656088,27.95943054638385
"(0, 1, 'regresando', 7)",0.0,1.0,regresando,7,-58.90762492297739,36.26956183728694,35.048699437834486
"(0, 1, 'regresando', 8)",0.0,1.0,regresando,8,-53.557958226447404,36.374759057719544,35.27691429376555
"(0, 1, 'regresando', 9)",0.0,1.0,regresando,9,-48.643813940958005,38.925392699520565,37.21605415347444
"(0, 1, 'regresando', 10)",0.0,1.0,regresando,10,-44.18120871366831,38.95494613238115,37.27793794283271
"(0, 2, 'en_camino', 1)",0.0,2.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(0, 2, 'en_camino', 2)",0.0,2.0,en_camino,2,-94.36671239140378,-95.20893745612162,-72.77777777777774
"(0, 2, 'en_camino', 3)",0.0,2.0,en_camino,3,-84.09025632135538,-16.124571511639385,2.1013120801426974
"(0, 2, 'en_camino', 4)",0.0,2.0,en_camino,4,-77.22095821284941,-12.237271068754657,12.98014630212751
"(0, 2, 'en_camino', 5)",0.0,2.0,en_camino,5,-70.51968267353871,4.66410649718655,36.199944161948615
"(0, 2, 'en_camino', 6)",0.0,2.0,en_camino,6,-64.76466768156317,66.11586186928652,69.19954795069492
"(0, 2, 'en_camino', 7)",0.0,2.0,en_camino,7,-59.42257097521011,70.48842763321306,75.41343126600992
"(0, 2, 'en_camino', 8)",0.0,2.0,en_camino,8,-54.55974293359883,101.75136636050597,93.01463047293429
"(0, 2, 'en_camino', 9)",0.0,2.0,en_camino,9,-50.049005856124296,102.9776458626975,94.70603528706873
"(0, 2, 'en_camino', 10)",0.0,2.0,en_camino,10,-45.87631284506783,114.81121379362978,101.39103404063783
"(0, 2, 'regresando', 1)",0.0,2.0,regresando,1,-99.01234567901236,-100.0,-86.66666666666664
"(0, 2, 'regresando', 2)",0.0,2.0,regresando,2,-87.32967535436671,-4.8000000000000025,-2.2666666666666604
"(0, 2, 'regresando', 3)",0.0,2.0,regresando,3,-80.10289159036925,-3.424022099447516,1.8446858237553592
"(0, 2, 'regresando', 4)",0.0,2.0,regresando,4,-71.92233056274337,29.171045087756784,30.139589195402422
"(0, 2, 'regresando', 5)",0.0,2.0,regresando,5,-65.28785049905856,29.570513993095446,31.135275898687034
"(0, 2, 'regresando', 6)",0.0,2.0,regresando,6,-58.93382181038799,39.21859088415734,39.3348867334498
"(0, 2, 'regresando', 7)",0.0,2.0,regresando,7,-53.3287901944154,39.331605986721506,39.600201886760374
"(0, 2, 'regresando', 8)",0.0,2.0,regresando,8,-48.16366603409058,42.070755389729655,41.85041294261707
"(0, 2, 'regresando', 9)",0.0,2.0,regresando,9,-43.501572800257534,42.1025277734377,41.92228217702591
"(0, 2, 'regresando', 10)",0.0,2.0,regresando,10,-39.24581791931725,42.87309379333662,42.53470229807808
"(0, 3, 'en_camino', 1)",0.0,3.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(0, 3, 'en_camino', 2)",0.0,3.0,en_camino,2,-69.0547762683698,-5.927169500320505,14.551343112976461
"(0, 3, 'en_camino', 3)",0.0,3.0,en_camino,3,-58.6761650215029,-1.815350181399158,25.820549946026595
"(0, 3, 'en_camino', 4)",0.0,3.0,en_camino,4,-49.492355391549665,9.79303232367147,45.190921004374324
"(0, 3, 'en_camino', 5)",0.0,3.0,en_camino,5,-42.21080658741023,82.50696830683911,83.16821451287102
"(0, 3, 'en_camino', 6)",0.0,3.0,en_camino,6,-35.65700925888822,85.22886312884711,87.43208023739653
"(0, 3, 'en_camino', 7)",0.0,3.0,en_camino,7,-29.788456940332242,115.83459319771536,104.70363313328467
"(0, 3, 'en_camino', 8)",0.0,3.0,en_camino,8,-24.42899676116507,116.56384835143284,105.80467750549705
"(0, 3, 'en_camino', 9)",0.0,3.0,en_camino,9,-19.526327883381114,126.78213293165938,111.54954585852063
"(0, 3, 'en_camino', 10)",0.0,3.0,en_camino,10,-15.022042631931985,126.98668198017313,111.84677316647345
"(0, 3, 'regresando', 1)",0.0,3.0,regresando,1,-99.01234567901236,-100.0,-86.66666666666664
"(0, 3, 'regresando', 2)",0.0,3.0,regresando,2,-93.99304787330809,-95.95801104972377,-68.22796934865643
"(0, 3, 'regresando', 3)",0.0,3.0,regresando,3,-85.13941757446739,-5.452937456121609,-1.286091954022416
"(0, 3, 'regresando', 4)",0.0,3.0,regresando,4,-78.30672810272551,-4.157513953176034,2.1032504326929513
"(0, 3, 'regresando', 5)",0.0,3.0,regresando,5,-71.12730057720006,26.87010228231618,27.108458983552786
"(0, 3, 'regresando', 6)",0.0,3.0,regresando,6,-64.8393258282467,27.24307604656088,27.95943054638385
"(0, 3, 'regresando', 7)",0.0,3.0,regresando,7,-58.90762492297739,36.26956183728694,35.048699437834486
"(0, 3, 'regresando', 8)",0.0,3.0,regresando,8,-53.557958226447404,36.374759057719544,35.27691429376555
"(0, 3, 'regresando', 9)",0.0,3.0,regresando,9,-48.64381394095802,38.925392699520565,37.21605415347444
"(0, 3, 'regresando', 10)",0.0,3.0,regresando,10,-44.181208713668326,38.95494613238115,37.27793794283271
"(0, 4, 'en_camino', 1)",0.0,4.0,en_camino,1,-57.01935483870968,-100.0,15.727586206899115
"(0, 4, 'en_camino', 2)",0.0,4.0,en_camino,2,-31.552207705450865,5.41988950276243,28.58620689655457
"(0, 4, 'en_camino', 3)",0.0,4.0,en_camino,3,-17.385194944789152,9.551509416684468,39.50574712644248
"(0, 4, 'en_camino', 4)",0.0,4.0,en_camino,4,-9.94188165517031,13.128121241720336,50.98224666409112
"(0, 4, 'en_camino', 5)",0.0,4.0,en_camino,5,-2.757249704981513,94.92161154151589,92.6477944906996
"(0, 4, 'en_camino', 6)",0.0,4.0,en_camino,6,3.609800985433237,96.05342807348735,94.75736794181691
"(0, 4, 'en_camino', 7)",0.0,4.0,en_camino,7,9.504034339027566,123.25171278843908,110.3209546432281
"(0, 4, 'en_camino', 8)",0.0,4.0,en_camino,8,14.890938345473163,123.57606212817922,110.85061108154281
"(0, 4, 'en_camino', 9)",0.0,4.0,en_camino,9,19.83166702090295,131.43043672087225,115.2630698225278
"(0, 4, 'en_camino', 10)",0.0,4.0,en_camino,10,24.352155057918,131.5218191970488,115.40511389670368
"(0, 4, 'regresando', 1)",0.0,4.0,regresando,1,-97.4193548387097,-99.55801104972376,-75.17241379310089
"(0, 4, 'regresando', 2)",0.0,4.0,regresando,2,-92.15220770545088,-95.20893745612162,-63.678160919535095
"(0, 4, 'regresando', 3)",0.0,4.0,regresando,3,-87.46173815466571,-91.44408290345228,-51.59763509044031
"(0, 4, 'regresando', 4)",0.0,4.0,regresando,4,-80.59791762529682,-5.345672061562218,-7.739163694002483
"(0, 4, 'regresando', 5)",0.0,4.0,regresando,5,-74.30671133522834,-4.154286238434361,-5.51856006125884
"(0, 4, 'regresando', 6)",0.0,4.0,regresando,6,-67.9784667306869,24.47548714572534,10.864162782342836
"(0, 4, 'regresando', 7)",0.0,4.0,regresando,7,-62.18524595732865,24.81690750334655,11.421695875295153
"(0, 4, 'regresando', 8)",0.0,4.0,regresando,8,-56.774345487931996,33.08467023249712,16.066389286869317
"(0, 4, 'regresando', 9)",0.0,4.0,regresando,9,-51.83733833590434,33.180862312682905,16.215909364941204
"(0, 4, 'regresando', 10)",0.0,4.0,regresando,10,-47.312489643961236,35.51341140066675,17.486380307454517
"(1, 0, 'en_camino', 1)",1.0,0.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(1, 0, 'en_camino', 2)",1.0,0.0,en_camino,2,-93.99304787330809,-95.20893745612162,-68.22796934865643
"(1, 0, 'en_camino', 3)",1.0,0.0,en_camino,3,-89.46415465722916,-91.05815522128201,-58.18047573434994
"(1, 0, 'en_camino', 4)",1.0,0.0,en_camino,4,-85.2475500415673,-87.17410218137215,-47.62050220144247
"(1, 0, 'en_camino', 5)",1.0,0.0,en_camino,5,-81.340400896659,-83.49773577984298,-41.86623090940432
"(1, 0, 'en_camino', 6)",1.0,0.0,en_camino,6,-77.39686536667412,-29.961695890249096,-29.630228606508382
"(1, 0, 'en_camino', 7)",1.0,0.0,en_camino,7,-73.65081164325643,-26.679048392607026,-20.693684233299184
"(1, 0, 'en_camino', 8)",1.0,0.0,en_camino,8,-69.99559927524169,-5.3353088526114,-11.861139781730142
"(1, 0, 'en_camino', 9)",1.0,0.0,en_camino,9,-66.50781996598482,36.31400610724566,-2.146422470858442
"(1, 0, 'en_camino', 10)",1.0,0.0,en_camino,10,-63.162810054675475,43.19182797545406,1.8815548174774162
"(1, 0, 'regresando', 1)",1.0,0.0,regresando,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(1, 0, 'regresando', 2)",1.0,0.0,regresando,2,-93.99304787330809,-95.58011049723758,-68.22796934865643
"(1, 0, 'regresando', 3)",1.0,0.0,regresando,3,-85.13941757446737,-4.368163364976651,-1.286091954022416
"(1, 0, 'regresando', 4)",1.0,0.0,regresando,4,-78.30672810272551,-3.1114016055675973,2.1032504326929513
"(1, 0, 'regresando', 5)",1.0,0.0,regresando,5,-71.12730057720006,27.102179144817626,27.108458983552786
"(1, 0, 'regresando', 6)",1.0,0.0,regresando,6,-64.83932582824669,27.462117192243873,27.95943054638385
"(1, 0, 'regresando', 7)",1.0,0.0,regresando,7,-58.90762492297739,36.17897129719425,35.048699437834486
"(1, 0, 'regresando', 8)",1.0,0.0,regresando,8,-53.557958226447404,36.28036616117719,35.27691429376555
"(1, 0, 'regresando', 9)",1.0,0.0,regresando,9,-48.643813940958005,38.7391118567749,37.21605415347444
"(1, 0, 'regresando', 10)",1.0,0.0,regresando,10,-44.18120871366831,38.767589815278356,37.27793794283271
"(1, 1, 'en_camino', 1)",1.0,1.0,en_camino,1,-100.0,-100.0,-100.0
"(1, 1, 'en_camino', 2)",1.0,1.0,en_camino,2,-95.6246913580247,-95.62209944751382,-84.59999999999998
"(1, 1, 'en_camino', 3)",1.0,1.0,en_camino,3,-91.29474090790647,-91.49172992277404,-67.49224712643421
"(1, 1, 'en_camino', 4)",1.0,1.0,en_camino,4,-87.19271296703212,-87.5793987096536,-57.62089230842402
"(1, 1, 'en_camino', 5)",1.0,1.0,en_camino,5,-82.47142991143139,-29.93334436348474,-24.16490871146889
"(1, 1, 'en_camino', 6)",1.0,1.0,en_camino,6,-78.09763598124914,-26.439720689252187,-1.7119152537335454
"(1, 1, 'en_camino', 7)",1.0,1.0,en_camino,7,-73.76186152889315,-4.079319306255822,20.1861606830834
"(1, 1, 'en_camino', 8)",1.0,1.0,en_camino,8,-69.68499914463824,40.76433417503479,48.65306713894094
"(1, 1, 'en_camino', 9)",1.0,1.0,en_camino,9,-65.7847016639689,47.92214063537164,56.767539576393425
"(1, 1, 'en_camino', 10)",1.0,1.0,en_camino,10,-62.103854636838044,78.352899623523,74.28165577695849
"(1, 1, 'regresando', 1)",1.0,1.0,regresando,1,-100.0,-100.0,-100.0
"(1, 1, 'regresando', 2)",1.0,1.0,regresando,2,-84.22469135802471,6.641988950276242,7.86666666666667
"(1, 1, 'regresando', 3)",1.0,1.0,regresando,3,-75.86674090790646,7.703889502762429,10.302342911877679
"(1, 1, 'regresando', 4)",1.0,1.0,regresando,4,-67.13677880150857,33.6930155852996,34.18476126436787
"(1, 1, 'regresando', 5)",1.0,1.0,regresando,5,-60.43526348788333,33.984913697194834,34.90242439714049
"(1, 1, 'regresando', 6)",1.0,1.0,regresando,6,-54.11773398654829,41.07713740058959,41.157618070834104
"(1, 1, 'regresando', 7)",1.0,1.0,regresando,7,-48.641213469717506,41.15875036337248,41.355044745222145
"(1, 1, 'regresando', 8)",1.0,1.0,regresando,8,-43.617131789874236,43.13898324395923,43.04468150220132
"(1, 1, 'regresando', 9)",1.0,1.0,regresando,9,-39.105585757549235,43.16187378184169,43.0984338767693
"(1, 1, 'regresando', 10)",1.0,1.0,regresando,10,-34.993039361876654,43.71714345437479,43.55713365461272
"(1, 2, 'en_camino', 1)",1.0,2.0,en_camino,1,-100.0,-100.0,-100.0
"(1, 2, 'en_camino', 2)",1.0,2.0,en_camino,2,-95.81234567901237,-95.66408839779007,-85.86666666666665
"(1, 2, 'en_camino', 3)",1.0,2.0,en_camino,3,-91.71140374942846,-91.52699136168005,-72.38511111111109
"(1, 2, 'en_camino', 4)",1.0,2.0,en_camino,4,-84.78467646462622,-23.386191431963052,-6.148952597573699
"(1, 2, 'en_camino', 5)",1.0,2.0,en_camino,5,-79.10570367208345,-19.68885180519394,4.397345953631499
"(1, 2, 'en_camino', 6)",1.0,2.0,en_camino,6,-73.47037306977666,0.1904318961474764,29.48183489793789
"(1, 2, 'en_camino', 7)",1.0,2.0,en_camino,7,-68.39883234221544,53.16521816835993,58.98399364954258
"(1, 2, 'en_camino', 8)",1.0,2.0,en_camino,8,-63.62352888813142,59.013102722651006,66.28849505900018
"(1, 2, 'en_camino', 9)",1.0,2.0,en_camino,9,-59.20845610517552,89.99713110706718,84.01295741367557
"(1, 2, 'en_camino', 10)",1.0,2.0,en_camino,10,-55.077734734288,91.72110605043217,86.18544175185379
"(1, 2, 'regresando', 1)",1.0,2.0,regresando,1,-70.0,20.0,20.0
"(1, 2, 'regresando', 2)",1.0,2.0,regresando,2,-60.912345679012354,20.799999999999997,20.799999999999997
"(1, 2, 'regresando', 3)",1.0,2.0,regresando,3,-50.971366712391415,41.061977900552485,41.294666666666664
"(1, 2, 'regresando', 4)",1.0,2.0,regresando,4,-44.533470622528974,41.26373900552486,41.75744515325677
"(1, 2, 'regresando', 5)",1.0,2.0,regresando,5,-38.438578169775006,46.201672961206924,46.2951046402299
"(1, 2, 'regresando', 6)",1.0,2.0,regresando,6,-33.47342157247403,46.25713360246702,46.431460635456716
"(1, 2, 'regresando', 7)",1.0,2.0,regresando,7,-28.922115157632007,47.604656106112024,47.619947433458485
"(1, 2, 'regresando', 8)",1.0,2.0,regresando,8,-24.911333135380605,47.62016256904077,47.657458501592245
"(1, 2, 'regresando', 9)",1.0,2.0,regresando,9,-21.25875992234469,47.996406816352255,47.97848948541826
"(1, 2, 'regresando', 10)",1.0,2.0,regresando,10,-17.96458580512222,48.00075601854992,47.98870243658621
"(1, 3, 'en_camino', 1)",1.0,3.0,en_camino,1,-100.0,-100.0,-100.0
"(1, 3, 'en_camino', 2)",1.0,3.0,en_camino,2,-95.6246913580247,-95.62209944751382,-84.59999999999998
"(1, 3, 'en_camino', 3)",1.0,3.0,en_camino,3,-81.81819769802992,-15.155818320564089,3.284065028261905
"(1, 3, 'en_camino', 4)",1.0,3.0,en_camino,4,-73.6927336955796,-11.247188584455884,14.199984648297924
"(1, 3, 'en_camino', 5)",1.0,3.0,en_camino,5,-66.02689150750696,5.151354450702618,37.05408696197905
"(1, 3, 'en_camino', 6)",1.0,3.0,en_camino,6,-59.64538328503385,67.67301698085402,70.52657127410164
"(1, 3, 'en_camino', 7)",1.0,3.0,en_camino,7,-53.801028109048545,71.8887690052983,76.55520291829154
"(1, 3, 'en_camino', 8)",1.0,3.0,en_camino,8,-48.533365268083685,103.08927291004083,94.12508572566755
"(1, 3, 'en_camino', 9)",1.0,3.0,en_camino,9,-43.68129914764704,104.26833509912703,95.76040629781924
"(1, 3, 'en_camino', 10)",1.0,3.0,en_camino,10,-39.21866475359158,115.94845111174087,102.35609266333667
"(1, 3, 'regresando', 1)",1.0,3.0,regresando,1,-100.0,-100.0,-100.0
"(1, 3, 'regresando', 2)",1.0,3.0,regresando,2,-84.22469135802471,6.641988950276242,7.86666666666667
"(1, 3, 'regresando', 3)",1.0,3.0,regresando,3,-75.86674090790646,7.703889502762429,10.302342911877679
"(1, 3, 'regresando', 4)",1.0,3.0,regresando,4,-67.13677880150857,33.6930155852996,34.18476126436787
"(1, 3, 'regresando', 5)",1.0,3.0,regresando,5,-60.43526348788334,33.984913697194834,34.90242439714049
"(1, 3, 'regresando', 6)",1.0,3.0,regresando,6,-54.1177339865483,41.07713740058959,41.157618070834104
"(1, 3, 'regresando', 7)",1.0,3.0,regresando,7,-48.641213469717506,41.15875036337248,41.355044745222145
"(1, 3, 'regresando', 8)",1.0,3.0,regresando,8,-43.617131789874236,43.13898324395923,43.04468150220132
"(1, 3, 'regresando', 9)",1.0,3.0,regresando,9,-39.10558575754924,43.16187378184169,43.0984338767693
"(1, 3, 'regresando', 10)",1.0,3.0,regresando,10,-34.99303936187666,43.71714345437479,43.55713365461272
"(1, 4, 'en_camino', 1)",1.0,4.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(1, 4, 'en_camino', 2)",1.0,4.0,en_camino,2,-69.0547762683698,-5.927169500320505,14.551343112976461
"(1, 4, 'en_camino', 3)",1.0,4.0,en_camino,3,-58.6761650215029,-1.815350181399158,25.820549946026595
"(1, 4, 'en_camino', 4)",1.0,4.0,en_camino,4,-49.492355391549665,9.79303232367147,45.190921004374324
"(1, 4, 'en_camino', 5)",1.0,4.0,en_camino,5,-42.210806587410225,82.50696830683911,83.16821451287102
"(1, 4, 'en_camino', 6)",1.0,4.0,en_camino,6,-35.65700925888824,85.22886312884711,87.43208023739653
"(1, 4, 'en_camino', 7)",1.0,4.0,en_camino,7,-29.788456940332246,115.83459319771536,104.70363313328467
"(1, 4, 'en_camino', 8)",1.0,4.0,en_camino,8,-24.42899676116507,116.56384835143284,105.80467750549705
"(1, 4, 'en_camino', 9)",1.0,4.0,en_camino,9,-19.526327883381114,126.78213293165938,111.54954585852063
"(1, 4, 'en_camino', 10)",1.0,4.0,en_camino,10,-15.022042631931985,126.98668198017313,111.84677316647345
"(1, 4, 'regresando', 1)",1.0,4.0,regresando,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(1, 4, 'regresando', 2)",1.0,4.0,regresando,2,-93.99304787330809,-95.58011049723758,-68.22796934865643
"(1, 4, 'regresando', 3)",1.0,4.0,regresando,3,-85.13941757446739,-4.368163364976651,-1.286091954022416
"(1, 4, 'regresando', 4)",1.0,4.0,regresando,4,-78.30672810272551,-3.1114016055675973,2.1032504326929513
"(1, 4, 'regresando', 5)",1.0,4.0,regresando,5,-71.12730057720006,27.102179144817626,27.108458983552786
"(1, 4, 'regresando', 6)",1.0,4.0,regresando,6,-64.8393258282467,27.462117192243873,27.95943054638385
"(1, 4, 'regresando', 7)",1.0,4.0,regresando,7,-58.90762492297739,36.17897129719425,35.048699437834486
"(1, 4, 'regresando', 8)",1.0,4.0,regresando,8,-53.557958226447404,36.28036616117719,35.27691429376555
"(1, 4, 'regresando', 9)",1.0,4.0,regresando,9,-48.64381394095802,38.7391118567749,37.21605415347444
"(1, 4, 'regresando', 10)",1.0,4.0,regresando,10,-44.18120871366833,38.767589815278356,37.27793794283271
"(2, 0, 'en_camino', 1)",2.0,0.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(2, 0, 'en_camino', 2)",2.0,0.0,en_camino,2,-94.36671239140378,-95.20893745612162,-72.77777777777774
"(2, 0, 'en_camino', 3)",2.0,0.0,en_camino,3,-89.9399743521434,-91.13237957610629,-58.18047573434994
"(2, 0, 'en_camino', 4)",2.0,0.0,en_camino,4,-85.8149884062293,-87.21411514787438,-50.22620995635422
"(2, 0, 'en_camino', 5)",2.0,0.0,en_camino,5,-81.92751033585938,-83.54167874664026,-41.86623090940434
"(2, 0, 'en_camino', 6)",2.0,0.0,en_camino,6,-78.2819500861353,-80.06398497637652,-37.31076613647599
"(2, 0, 'en_camino', 7)",2.0,0.0,en_camino,7,-74.6977040219274,-29.88441212144385,-30.07343872874905
"(2, 0, 'en_camino', 8)",2.0,0.0,en_camino,8,-71.2724261365693,-26.779252461612653,-25.231582988970466
"(2, 0, 'en_camino', 9)",2.0,0.0,en_camino,9,-67.95479300771642,-6.354520579715759,-19.980559489037176
"(2, 0, 'en_camino', 10)",2.0,0.0,en_camino,10,-64.78172074675325,32.68575190390606,-15.038208108634946
"(2, 0, 'regresando', 1)",2.0,0.0,regresando,1,-99.01234567901236,-100.0,-86.66666666666664
"(2, 0, 'regresando', 2)",2.0,0.0,regresando,2,-87.32967535436671,-4.716022099447516,-2.2666666666666604
"(2, 0, 'regresando', 3)",2.0,0.0,regresando,3,-80.10289159036925,-3.3522209944751395,1.8446858237553592
"(2, 0, 'regresando', 4)",2.0,0.0,regresando,4,-71.92233056274337,29.377152165074328,30.139589195402422
"(2, 0, 'regresando', 5)",2.0,0.0,regresando,5,-65.28785049905856,29.76927533914105,31.135275898687034
"(2, 0, 'regresando', 6)",2.0,0.0,regresando,6,-58.93382181038798,39.26268548803261,39.3348867334498
"(2, 0, 'regresando', 7)",2.0,0.0,regresando,7,-53.3287901944154,39.37322380440128,39.600201886760374
"(2, 0, 'regresando', 8)",2.0,0.0,regresando,8,-48.16366603409057,42.05354318711205,41.85041294261707
"(2, 0, 'regresando', 9)",2.0,0.0,regresando,9,-43.50157280025753,42.08459312309465,41.92228217702591
"(2, 0, 'regresando', 10)",2.0,0.0,regresando,10,-39.24581791931724,42.83770043321495,42.53470229807808
"(2, 1, 'en_camino', 1)",2.0,1.0,en_camino,1,-100.0,-100.0,-100.0
"(2, 1, 'en_camino', 2)",2.0,1.0,en_camino,2,-95.81234567901237,-95.95801104972377,-85.86666666666665
"(2, 1, 'en_camino', 3)",2.0,1.0,en_camino,3,-91.71140374942847,-91.83764463844206,-72.38511111111109
"(2, 1, 'en_camino', 4)",2.0,1.0,en_camino,4,-87.69666610035249,-87.92528008280632,-58.040688512127716
"(2, 1, 'en_camino', 5)",2.0,1.0,en_camino,5,-83.8568435011896,-84.20660222042198,-50.11988910542829
"(2, 1, 'en_camino', 6)",2.0,1.0,en_camino,6,-79.8196968502779,-34.468464140184444,-39.600794323853115
"(2, 1, 'en_camino', 7)",2.0,1.0,en_camino,7,-75.96470931402334,-31.148912625069418,-6.035735949889302
"(2, 1, 'en_camino', 8)",2.0,1.0,en_camino,8,-72.17659875114077,-7.326383123081914,13.426770310757686
"(2, 1, 'en_camino', 9)",2.0,1.0,en_camino,9,-68.56723964762722,31.389061381179744,38.22083300890798
"(2, 1, 'en_camino', 10)",2.0,1.0,en_camino,10,-65.10361985471894,39.4578097003808,45.65563653996194
"(2, 1, 'regresando', 1)",2.0,1.0,regresando,1,-70.0,20.0,20.0
"(2, 1, 'regresando', 2)",2.0,1.0,regresando,2,-60.912345679012354,20.799999999999997,20.799999999999997
"(2, 1, 'regresando', 3)",2.0,1.0,regresando,3,-50.971366712391415,41.061977900552485,41.294666666666664
"(2, 1, 'regresando', 4)",2.0,1.0,regresando,4,-44.533470622528974,41.26373900552486,41.75744515325677
"(2, 1, 'regresando', 5)",2.0,1.0,regresando,5,-38.438578169775,46.201672961206924,46.2951046402299
"(2, 1, 'regresando', 6)",2.0,1.0,regresando,6,-33.47342157247403,46.25713360246702,46.431460635456716
"(2, 1, 'regresando', 7)",2.0,1.0,regresando,7,-28.922115157632003,47.604656106112024,47.619947433458485
"(2, 1, 'regresando', 8)",2.0,1.0,regresando,8,-24.91133313538061,47.62016256904077,47.657458501592245
"(2, 1, 'regresando', 9)",2.0,1.0,regresando,9,-21.258759922344687,47.996406816352255,47.97848948541826
"(2, 1, 'regresando', 10)",2.0,1.0,regresando,10,-17.964585805122216,48.00075601854992,47.98870243658621
"(2, 2, 'en_camino', 1)",2.0,2.0,en_camino,1,-100.0,-100.0,-100.0
"(2, 2, 'en_camino', 2)",2.0,2.0,en_camino,2,-96.00000000000001,-96.00000000000001,-96.00000000000001
"(2, 2, 'en_camino', 3)",2.0,2.0,en_camino,3,-92.05738271604939,-91.93672928176798,-82.57333333333332
